,Country,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Age dependency ratio, old","Age dependency ratio, young","Birth rate, crude (per 1,000 people)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure per capita (current US$),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),Domestic private health expenditure per capita (current US$),"Domestic private health expenditure per capita, PPP  (current international $)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Labor force, female (% of total labor force)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)",Number of infant deaths,Number of neonatal deaths,Number of under-five deaths,Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure per capita (current US$),"Out-of-pocket expenditure per capita, PPP (current international $)",Prevalence of anemia among children (% of children under 5),Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of anemia among pregnant women (%),Prevalence of anemia among women of reproductive age (% of women ages 15-49),Prevalence of overweight (% of adults),"Prevalence of overweight, female (% of female adults)","Prevalence of overweight, male (% of male adults)",Sex ratio at birth (male births per female births),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","Tuberculosis case detection rate (%, all forms)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",ISO-alpha3 code_x,Year,cases of visceral leishmaniasis,Status of endemicity of cutaneous leishmaniasis 2017,ISO-alpha3 code_y,Buruli cases 2016,ISO-alpha3 code_x,Cases of cholera 2016,Cholera deaths 2016,Unnamed: 0,Oncho Status 2018,ISO-alpha3 code_y,Oncho cases 2016,Trachoma Operations 2018,Trachoma Pop at Risk 2018,Country code_x,Population requiring PC for STH Pre-SAC,National coverage Pre-SAC,Population requiring PC for STH SAC,National coverage SAC,Country code_y,Population requiring PC for SCH annually,Reported number of SAC treated for Schisto,Age group,National coverage Schisto tmt
20,Benin,88.1498,6.003373452525926,79.53083275539123,37.026,54.1,10.2,35.7,3.85561779,30.40151289,83.47636765,9.172,0.79184569,20.53745295,3.72475537,6.24369641,17.14391973,48.99458418,14.89509483,40.89889922,4.977,820.0,82.0,82.0,82.0,78.0,74.0,59.0,49.19539079109562,4414814.0,62.398,59.382,60.907,19.6,19.3,19.9,65.1,33.1,101.0,25744.0,13353.0,39452.0,43.48323889,13.21956248,36.29822836,62.1,46.0,55.5,46.9,29.5,37.3,21.2,1.041,63.28199,57.41662,3.0,0.8,5.3,61.0,9.4,88.0,2.60400009155273,2.2390000820159903,2.41899991035461,BEN,,,No autochthonous cases reported,BEN,312,BEN,761,13,1.0,Endemic,BEN,6642274,0.0,1237030.0,AFR,646507,-,1637723,0.8681,AFR,2430111,1094757,SAC,0.4505
21,Bermuda,,,,9.6,,,,,,,8.0,,,,,,,,,1.61,,,,,,,3.7,,,85.13,77.51,81.2270731707317,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,0.31,50.0,,,,BMU,,,,,,,,,,,,,,,,,,,,,,,,
22,Bhutan,22.0802,7.010934393638173,39.45208747514911,18.165,20.9,10.5,68.6,3.45418055,91.33533448,293.1100222,6.022,2.55447091,73.95302236,8.30409558,67.54524033,216.76372026,21.28587597,19.44152601,62.39103579,2.051,2730.0,98.0,98.0,98.0,97.0,97.0,178.0,39.94574979739722,359077.0,70.459,69.933,70.197,23.3,24.9,21.9,26.5,17.6,32.0,383.0,255.0,463.0,20.12969552,18.38552473,59.00215502,43.5,35.7,32.8,35.6,27.1,29.6,25.2,1.04,69.56718000000001,69.92432,0.6,0.1,0.9,80.0,20.0,95.0,3.17499995231628,1.78299999237061,2.33899998664856,BTN,2016,No data,No autochthonous cases reported,BTN,,,,,,,,,,,SEAR,74066,0.7994,160440,0.9658,,,,,
23,Bolivia (Plurinational State of),69.0318,10.716704177277284,52.17925770040514,23.252,22.4,13.1,64.5,6.86056405,213.01732534,496.30618855,7.2970000000000015,4.50729231,65.69856763,11.33114332,139.94933155,326.06605694,31.0628232,66.16919515,154.16671387,2.878,3040.0,87.0,87.0,87.0,87.0,94.0,114.0,42.99840019341227,5294390.0,71.689,66.672,69.125,17.2,16.8,17.7,29.0,19.2,36.1,7296.0,4867.0,9093.0,28.02112047,59.68984135,139.07055499,46.9,29.8,36.8,30.2,56.1,59.8,52.2,1.05,73.77454,66.14241,4.8,1.6,8.0,62.0,11.0,87.0,4.05299997329712,2.30399990081787,3.05599999427795,BOL,2016,0,Endemic,BOL,,,,,,,,,,,AMR,550107,-,1223173,-,,,,,
24,Bosnia and Herzegovina,10.4266,23.16534359340536,20.418012566157195,9.158,1.8,3.7,94.5,9.22955617,443.78378047,1123.4254254,11.037,6.533311599999998,70.78684481,15.4394154,314.14053596,795.23741241,28.9811545,128.61366307,325.58165825,1.36,5140.0,78.0,78.0,69.0,79.0,68.0,32.0,38.73122780127629,1357060.0,79.398,74.361,76.911,17.8,12.9,23.1,5.1,4.1,5.9,165.0,134.0,191.0,28.68117751,127.28241385,322.21164048,28.0,29.4,29.8,29.4,53.3,47.0,59.7,1.0590000000000002,88.82175,79.81513000000002,6.4,2.1,10.9,80.0,3.7,56.0,30.0750007629395,22.461000442504893,25.4099998474121,BIH,2016,0,Endemic,BIH,,,,,,,,,,,,,,,,,,,,
25,Botswana,31.7182,5.923102300763098,48.987104825291176,23.669,46.0,8.3,45.7,5.46320154,379.9230078,931.30471441,6.684,3.05569285,55.93227386,9.14975414,212.49957716,520.89990329,37.38294405,142.02640544,348.14912033,2.73,6880.0,95.0,95.0,95.0,96.0,97.0,326.0,46.56515317044296,1060877.0,69.517,64.001,66.797,20.3,17.9,23.4,32.3,26.2,39.3,1709.0,1395.0,2081.0,5.24849231,19.94022985,48.87945632,40.4,30.0,34.0,30.2,43.4,56.5,29.7,1.03,73.33556,60.86251,8.4,2.4,14.4,74.0,19.0,79.0,21.6599998474121,14.7150001525879,17.9489994049072,BWA,,,No autochthonous cases reported,BWA,,,,,,,,,,,AFR,61078,1,54972,0.2322,AFR,180079,-,-,-
26,Brazil,62.6774,11.84682372507092,31.797492082417808,14.163,13.9,12.2,73.9,11.77150303,1015.93444765,1777.47047654,6.165,3.91095827,33.2239499,9.89572282,337.53355195,590.5459007000002,66.69093091,677.53614054,1185.4116074,1.726,8930.0,89.0,89.0,89.0,72.0,95.0,42.0,42.91513783335593,102471930.0,79.139,71.883,75.509,16.6,13.5,20.0,14.6,9.6,16.3,43026.0,28361.0,48257.0,43.56023599,442.54344287,774.27033418,25.1,26.8,37.3,27.2,56.5,55.4,57.6,1.05,84.95532,73.01576,7.8,2.4,13.4,87.0,2.5,72.0,13.4680004119873,10.2119998931885,11.6090002059937,BRA,2016,3200,Endemic,BRA,,BRA,,,2.0,Endemic,BRA,15475,1105.0,4943337.0,AMR,2889761,-,6508935,0.7528,AMR,1552328,615,SAC and Adults,0.0025
27,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,VGB,,,,,,,,,,,,,,,,,,,,,,,,
28,Brunei Darussalam,10.9406,5.982061066186888,32.3493940172799,15.873,7.8,7.4,84.8,2.3409551,630.6293586,1812.41364645,3.575,2.22223139,94.92840731,5.68573517,598.64640615,1720.49540845,5.07159269,31.98295245,91.918238,1.874,33160.0,99.0,99.0,99.0,99.0,98.0,66.0,42.97902190708212,210982.0,78.90899999999998,75.612,77.203,16.6,14.8,18.5,9.0,4.7,10.5,60.0,32.0,71.0,5.07159269,31.98295245,91.918238,16.1,16.6,27.1,16.9,41.2,41.4,41.0,1.055,88.24866999999998,83.62626999999998,0.4,0.2,0.6,87.0,4.6,72.0,9.35000038146973,7.96199989318848,8.55900001525879,BRN,,,No autochthonous cases reported,BRN,,,,,,,,,,,,,,,,,,,,
29,Bulgaria,40.2932,31.290738263092,21.53825537316249,9.1,2.2,2.6,95.2,8.23011604,612.47858555,1577.94276162,15.1,4.16140856,50.56318195,11.90374517,309.68866212,797.85807091,49.43681805,302.78992438,780.08469315,1.54,7580.0,92.0,91.0,92.0,92.0,92.0,27.0,46.32383469789721,3273207.0,78.5,71.3,74.81219512195123,23.6,15.5,32.0,6.7,3.9,7.9,443.0,258.0,526.0,47.95404673,293.70826711,756.68740924,26.9,26.4,28.0,26.4,61.7,54.4,68.9,1.06,86.86706,71.72606999999998,12.7,4.9,21.0,80.0,1.5,85.0,6.96799993515015,8.09799957275391,7.574999809265139,BGR,2016,3,Endemic,BGR,,,,,,,,,,,,,,,,,,,,
30,Burkina Faso,106.5448,4.616154011792187,86.94499144433723,38.92,56.3,11.0,32.7,6.75254452,40.94095568,115.60433137,8.568,2.70760479,40.09754805,11.03410287,16.41631937,46.35450232,36.45180674,14.92371804,42.13986746,5.353,600.0,91.0,91.0,91.0,91.0,88.0,51.0,44.728825869038104,6797717.0,60.992,59.598,60.361,21.7,21.2,22.5,52.6,26.0,84.5,37627.0,18875.0,59583.0,31.39360194,12.85284066,36.29236362,86.2,48.7,57.5,49.6,23.2,29.2,16.1,1.046,61.24586,56.91098,8.2,2.4,14.2,60.0,8.7,80.0,9.28499984741211,4.0,6.3639998435974094,BFA,,,Endemic,BFA,,BFA,,,3.0,Endemic,BFA,255594,733.0,0.0,AFR,No PC required,-,No PC required,-,AFR,4909859,2306821,SAC and Adults,0.9259
31,Burundi,27.4016,4.805619338710032,85.31416811428797,42.24800000000001,55.8,12.1,32.1,6.19156298,18.46188216,50.25423113,10.788,1.80344852,29.12751633,8.52141439,5.37748774,14.63780938,32.25762959,5.95536556,16.21082373,5.697,270.0,94.0,94.0,94.0,94.0,93.0,118.0,52.36095186634861,4552740.0,59.492,55.517,57.481,22.9,22.7,23.1,44.1,22.8,63.9,19343.0,10157.0,27544.0,30.51368128,5.63339988,15.33441592,47.3,26.2,30.9,26.7,22.2,30.1,13.9,1.03,58.21959,50.88497,7.5,2.2,13.0,61.0,19.0,92.0,1.13900005817413,2.03500008583069,1.56599998474121,BDI,,,No autochthonous cases reported,BDI,,,434,5,4.0,Endemic,BDI,1698290,0.0,382790.0,AFR,1495997,0.828,2812891,0.9997,AFR,1552353,972470,SAC,0.6264
32,Cabo Verde,74.7374,6.842496112877399,47.23434127776102,20.901,19.5,10.1,70.3,5.23696219,159.07351003,347.64124992,5.5310000000000015,2.97373825,56.7836494,9.88730598,90.32774422,197.40338852,28.15241319,44.78303181,97.86940108,2.334,3130.0,96.0,96.0,96.0,95.0,93.0,137.0,47.166631056667384,252738.0,74.687,70.676,72.798,17.2,15.9,19.0,15.9,11.0,18.5,179.0,124.0,209.0,26.01418236,41.38167299,90.43602871,55.1,32.8,42.9,33.3,34.8,41.4,27.5,1.03,82.8333,75.16476,5.7,1.7,10.0,34.0,4.0,87.0,12.7430000305176,11.9280004501343,12.312000274658198,CPV,,,,,,,,,,,,,,,AFR,41438,-,104124,-,,,,,
33,Cambodia,49.9048,6.617987105432586,48.78126309672266,23.296,25.6,10.0,64.4,6.08196009,77.67368199,228.57086774,6.055,1.32628594,21.80688329,6.15908712,16.93820917,49.84418234,59.24325852,46.01642021,135.41283003,2.56,1140.0,93.0,93.0,93.0,92.0,84.0,345.0,48.45437674191742,8762614.0,70.949,66.809,68.98100000000001,21.1,19.1,23.9,26.3,15.6,30.6,9609.0,5714.0,11181.0,58.56040154,45.48602007,133.85201796,54.4,46.3,55.8,46.8,21.7,24.2,18.6,1.0490000000000002,76.56666,67.28256,6.7,2.0,11.9,62.0,20.0,94.0,1.01300001144409,1.24199998378754,1.13100004196167,KHM,,,No autochthonous cases reported,KHM,,,,,,,,,182.0,0.0,WPR,1459244,0.9333,3788130,0.9182,WPR,81424,27422,SAC and Adults,0.8982
34,Cameroon,108.8318,5.866957720160869,79.55362894151301,36.3,53.9,10.9,35.2,4.690249099999999,64.46729416,169.28882146,10.076,0.62544566,13.33502003,2.95460297,8.59672659,22.57469826,77.33246243,49.85414604,130.91521425,4.708,1380.0,85.0,85.0,85.0,83.0,78.0,203.0,46.89903422204843,10433040.0,59.232,56.922,58.073,21.6,20.9,22.3,56.6,26.1,86.8,47497.0,22179.0,72100.0,69.50262192,44.80645972,117.66016953,62.5,40.6,49.3,41.4,33.6,41.7,25.2,1.03,54.61505,50.6113,8.9,2.7,15.2,54.0,29.0,84.0,3.96499991416931,3.03500008583069,3.47099995613098,CMR,2016,No data,Endemic,CMR,85,CMR,,,5.0,Endemic,CMR,10866998,421.0,0.0,AFR,3133594,1,6475763,0.7839,AFR,4808040,3044557,SAC,0.6332
35,Canada,9.7884,24.56808105112053,23.675837885606946,10.6,5.6,6.1,88.3,10.53465477,4458.21499934,4718.29681786,7.4,7.73706577,73.44394228,19.01953879,3274.28885079,3465.30319146,26.55605772,1183.92614855,1252.9936264,1.5433,43940.0,91.0,62.0,91.0,91.0,90.0,5.5,47.15102979614648,19841257.0,84.25299999999999,80.441,82.30051219512195,9.8,8.1,11.5,4.6,3.5,5.2,1777.0,1365.0,2028.0,14.61734086,651.67248276,689.68952869,9.4,9.3,17.4,9.5,64.1,58.5,69.8,1.056,92.18863,88.40681,8.9,3.4,14.6,87.0,0.3,,6.23799991607666,7.67799997329712,6.999000072479251,CAN,,,No autochthonous cases reported,CAN,,,1,0,,,,,,,,,,,,,,,,
36,Cayman Islands,,,,10.7612789616996,,,,,,,3.1468588478909503,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,0.0,100.0,,,,CYM,,,,,,,,,,,,,,,,,,,,,,,,
37,Central African Republic,105.7876,6.923787538500358,82.32747564858897,35.7,63.7,10.3,26.0,4.28252151,16.36043526,29.9077719,13.538,0.63645599,14.86171143,5.06144144,2.43144068,4.44480675,44.19402936,7.23033556,13.21744949,4.869,410.0,47.0,47.0,47.0,47.0,49.0,407.0,45.71609202724925,1852234.0,54.042,50.323,52.17100000000001,23.1,22.4,23.9,89.2,42.4,125.0,14572.0,7023.0,20500.0,43.07941935,7.04798051,12.88409447,71.9,45.4,52.3,46.0,26.2,33.2,18.3,1.03,46.8636,41.18758,3.3,1.0,5.7,55.0,57.0,78.0,7.34700012207031,6.05700016021729,6.64699983596802,CAF,2016,No data,Previously reported cases,CAF,,CAF,,,6.0,Endemic,CAF,2485741,0.0,2866251.0,AFR,554680,1,1209113,-,AFR,957537,-,-,-
38,Chad,164.516,4.9302575026476365,94.49575987473754,43.331,63.4,9.3,27.3,4.5381013,31.68594246,94.95477954,12.953,0.85629457,18.86900522,5.89814935,5.97882214,17.91702231,66.54820856,21.08642707,63.19070473,5.947,730.0,41.0,41.0,41.0,44.0,37.0,153.0,45.55491193600192,5462164.0,54.13800000000001,51.685,52.903,23.9,23.7,24.2,75.0,35.4,126.9,46000.0,22167.0,76516.0,61.15595337,19.3778402,58.0705007,73.3,47.1,52.1,47.7,23.1,29.8,16.0,1.03,49.24005,44.21083,1.6,0.4,2.7,49.0,28.0,74.0,2.7060000896453897,2.17499995231628,2.41700005531311,TCD,2016,No data,Endemic,TCD,,,,,7.0,Endemic,TCD,3819804,5778.0,3848821.0,AFR,143708,1,345062,0.2572,AFR,3778402,2181770,SAC,0.5774
39,Channel Islands,7.0456,26.053155264670767,21.580506788130716,9.332,,,,,,,8.998,,,,,,,,,1.4780000000000002,,,,,,,,43.675345306379825,82463.0,82.822,79.332,81.107,,,,,,,,,,,,,,,,,,,,1.057,92.59675,89.25305,,,,,,,7.943999767303469,7.28800010681152,7.574999809265139,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chile,46.581,15.63346834051161,29.920315416245572,13.281,8.1,7.1,84.7,8.52893972,1190.54854502,2002.00838398,6.115,4.98680197,58.46919006,19.73678604,696.10409157,1170.5580871,41.5279584,494.41050449,831.39320884,1.774,13420.0,95.0,95.0,95.0,95.0,93.0,16.0,41.192467637124636,8989158.0,81.913,76.941,79.52199999999998,12.4,10.1,14.8,6.6,5.2,7.7,1565.0,1229.0,1828.0,34.76995383,413.95317941,696.09739076,20.0,14.7,27.0,15.0,63.1,61.4,64.7,1.04,88.87094,83.13018000000002,9.3,3.7,15.0,87.0,2.4,79.0,7.264999866485598,6.36899995803833,6.73799991607666,CHL,,,No autochthonous cases reported,CHL,,,,,,,,,,,,,,,,,,,,
41,China,6.5024,14.025192582473874,24.52395346923408,12.95,3.8,7.0,89.3,4.98188075,398.33155573,761.48785586,7.09,2.89025126,58.01526373,9.05126487,231.09310258,441.77918787,41.98312104,167.23201919,319.69636825,1.624,8210.0,99.0,99.0,,99.0,99.0,64.0,43.79102529959821,789149173.0,77.833,74.795,76.252,17.0,14.1,19.8,8.6,5.1,10.0,144606.0,85382.0,169127.0,35.90618522,143.02566618,273.42123994,21.4,26.2,32.4,26.4,32.3,30.1,34.5,1.152,87.75146,83.54098,7.2,2.5,11.7,87.0,2.8,93.0,3.89800000190735,4.9689998626709,4.5,CHN,2016,321,Endemic,CHN,,CHN,27,0,,,,,0.0,0.0,WPR,7385303,-,18836835,-,WPR,154188,-,-,-
42,Colombia,49.497,10.661815261474732,34.731212062932556,15.198,10.1,15.0,74.8,5.91234407,340.36546879,829.80292211,6.009,3.74948167,62.25342074,13.36699319,215.85247251,526.24319697,35.68897829,123.74507479,301.68755081,1.853,6460.0,91.0,91.0,91.0,91.0,93.0,32.0,42.945150584652794,25818999.0,77.99600000000002,70.851,74.381,15.8,13.5,18.3,13.1,8.3,15.2,9688.0,6108.0,11298.0,20.15695634,68.60731893,167.26301269,26.6,20.9,27.2,21.1,59.0,61.2,56.6,1.05,84.76399,73.061,5.8,1.8,10.1,80.0,2.7,61.0,11.2189998626709,6.78999996185303,8.69200038909912,COL,2016,37,Endemic,COL,,,,,8.0,Elimination verified,COL,Elimination verified,5.0,186680.0,AMR,909952,0.027,2481057,0.2755,,,,,
43,Comoros,67.17,5.121369749027567,70.01384629947191,32.856,47.4,10.9,41.7,7.63108978,59.00043787,115.84633521,7.3889999999999985,1.11075765,14.55568838,3.62948413,8.58791988,16.86223155,74.68235024,44.06291366,86.51676579999999,4.347,1320.0,91.0,91.0,91.0,92.0,90.0,35.0,42.05478206349282,208937.0,65.444,62.018,63.701,22.9,21.2,24.8,53.6,32.3,71.1,1382.0,845.0,1824.0,73.1343926,43.14961187,84.72351361,48.1,28.8,34.2,29.3,27.1,35.7,18.2,1.05,67.0795,59.64504,0.9,0.2,1.6,59.0,6.5,,4.22300004959106,3.5840001106262203,3.85199999809265,COM,,,No autochthonous cases reported,COM,,,,,,,,,,,AFR,99380,0.4759,198758,0.4759,,,,,
44,Democratic Republic of the Congo,125.2448,5.965312323892418,91.53117699235406,42.28,61.7,10.3,28.0,3.87116143,20.5175231,34.48820942,9.934,0.47434926,12.25340947,3.72612276,2.51409612,4.22598152,44.35310392,9.10015834,15.29659136,6.112,470.0,79.0,79.0,79.0,74.0,77.0,323.0,48.36757289056357,27015877.0,61.112,58.14100000000001,59.621,19.4,19.2,19.7,72.1,29.4,94.4,235170.0,97869.0,304608.0,37.434302,7.68059156,12.91042047,63.2,40.6,44.1,41.0,25.3,32.0,18.0,1.03,61.23993000000001,55.33771,2.6,0.8,4.4,51.0,67.0,89.0,3.4000000953674303,5.13399982452393,4.29500007629395,COD,2016,No data,Endemic,COD,175,COD,28093,759,11.0,Endemic,COD,41151940,0.0,9418824.0,AFR,10061554,0.9178,18534456,0.6744,AFR,14263827,8239845,SAC,0.5777
45,Congo,114.0906,6.2376313858696655,78.14861512241458,34.629,55.5,9.9,34.6,4.63481785,70.37796786,263.28980735,7.331,1.9593958,42.27557284,3.91927051,29.75268907,111.3072743,54.43781020000001,38.31222457,143.3292056,4.6610000000000005,1820.0,71.0,71.0,71.0,71.0,67.0,378.0,48.467111688778154,1993459.0,66.271,63.01600000000001,64.625,16.7,17.4,15.9,35.8,19.8,49.4,6298.0,3522.0,8644.0,49.71562378,34.98884572,130.89617006,64.3,51.3,57.2,51.9,30.9,37.4,24.2,1.03,66.08413,60.52647,7.8,2.8,12.9,54.0,59.0,77.0,10.3879995346069,9.06999969482422,9.70899963378906,COG,,,No autochthonous cases reported,COG,,COG,15,2,9.0,Endemic,COG,596972,,,AFR,284462,0.0804,426693,0.5857,AFR,183465,73953,SAC and Adults,0.4077
46,Costa Rica,54.58,13.34150516627388,31.85903469630655,14.289,6.4,10.2,83.3,7.55572353,888.85370049,1248.54792795,4.941,5.64846699,74.75746001,29.18765306,664.48444966,933.38271791,24.91335913,221.44331455,311.05522922,1.783,10770.0,97.0,97.0,97.0,97.0,93.0,9.5,38.00537952043877,2263027.0,82.277,77.45100000000002,79.831,11.5,9.4,13.7,8.0,6.0,9.2,557.0,417.0,640.0,22.14419226,196.82947236,276.48085365,28.7,14.6,24.7,14.9,61.6,63.3,59.9,1.05,89.98215,83.27455,4.8,1.4,8.2,80.0,0.92,84.0,10.8400001525879,7.22399997711182,8.59799957275391,CRI,,,Endemic,CRI,,,,,,,,,,,,,,,,,,,,
47,Cote d'Ivoire,133.386,5.340234165556985,78.10257350486695,36.832,52.4,10.4,37.2,4.40362075,67.57069603,162.6449615,12.227,1.13490011,25.7719767,4.87986473,17.41430403,41.91682158,59.2233451,40.01762649,96.32378683,4.9110000000000005,1530.0,82.0,82.0,82.0,71.0,74.0,153.0,40.96329230717085,7847919.0,55.14100000000001,52.144,53.582,29.1,30.1,28.2,66.0,34.1,91.8,56506.0,29731.0,77776.0,40.14711143,27.12768263,65.29725393,73.4,52.3,59.3,52.9,31.6,39.5,24.5,1.03,47.37468,42.7132,8.4,2.4,14.0,59.0,23.0,82.0,3.35599994659424,2.07399988174438,2.5989999771118195,CIV,2016,No data,Endemic,CIV,376,CIV,,,10.0,Endemic,CIV,,,,,,,,,,,,,
48,Croatia,9.3744,29.256546061109876,22.27846125363468,9.0,2.3,5.3,92.4,7.18008037,884.49111374,1705.20761848,12.3,5.61816563,78.24655627,11.96904586,692.08383705,1334.26623878,21.75344373,192.40727669,370.9413797,1.42,12360.0,93.0,93.0,93.0,93.0,90.0,12.0,46.32974127586042,1833304.0,81.3,74.9,78.0219512195122,16.7,10.7,22.8,4.0,3.0,4.7,157.0,117.0,187.0,15.36177386,135.87352466,261.95013811,27.1,27.3,28.7,27.3,59.6,53.0,66.2,1.0590000000000002,90.816,79.43387,8.9,3.3,15.1,87.0,1.4,58.0,13.786999702453599,12.5129995346069,13.102999687194801,HRV,2016,0,Endemic,HRV,,,,,,,,,,,,,,,,,,,,
49,Cuba,45.0278,20.553005881027445,23.264061583309818,10.865,8.4,7.9,83.7,12.19122021,970.64616387,2457.66804544,8.003,10.92339535,89.60050892,17.26391249,869.70390267,2202.08307635,10.307818,100.05243996,253.33194907,1.722,,99.0,99.0,99.0,98.0,99.0,6.8,37.66857530912133,5130348.0,81.782,77.748,79.742,16.4,13.8,19.0,4.2,2.3,5.5,521.0,284.0,686.0,10.307818,100.05243996,253.33194907,29.3,25.0,28.5,25.1,58.5,62.5,54.5,1.057,88.5953,83.51674,6.1,1.9,10.2,87.0,0.42,84.0,2.54999995231628,2.24799990653992,2.3619999885559104,CUB,,,No autochthonous cases reported,CUB,,,,,,,,,,,AMR,12840,-,28026,-,,,,,
50,Curacao,32.4672,24.40505891835873,28.805703757724643,11.2,,,,,,,9.3,,,,,,,,,1.7,19070.0,,,,,,2.9,,,81.1,74.5,77.71951219512195,,,,,,,,,,,,,,,,,,,,1.05,89.03818000000003,80.0522,,,,87.0,0.24,50.0,,,,CUW,,,,,,,,,,,,,,,,,,,,,,,,
51,Cyprus,4.6978,18.747657732990717,24.099928587559585,10.834,4.1,4.7,91.1,6.87966475,1634.43092199,2270.83174445,6.893,2.90331575,42.20141326,7.52622293,689.75294786,958.32308894,56.63344803,925.63458685,1286.05031592,1.3430000000000002,24660.0,97.0,97.0,96.0,97.0,90.0,5.6,46.18577179961664,603084.0,82.669,78.345,80.508,11.3,7.5,15.2,2.2,1.6,2.8,28.0,21.0,35.0,44.92326153,734.23967756,1020.13168339,17.5,25.1,29.0,25.2,59.1,52.7,65.2,1.07,93.67585,88.40598,10.8,4.2,17.1,87.0,0.26,66.0,13.333000183105499,12.621000289917,12.9499998092651,CYP,2016,1,Endemic,CYP,,,,,,,,,,,,,,,,,,,,
52,Czechia,10.2054,27.975726599808198,22.97702735850553,10.7,5.4,4.7,89.9,7.14959908,1321.62020252,2484.63352906,10.2,5.85397147,81.87831809,14.82672339,1082.12039344,2034.37614444,18.12168191,239.49980913,450.2573847,1.63,17590.0,96.0,96.0,96.0,96.0,98.0,5.5,44.36820315742503,5387428.0,82.1,76.1,79.02682926829269,15.0,10.2,20.0,2.6,1.7,3.2,278.0,180.0,352.0,15.02381241,198.55774004,373.28668056,25.8,25.7,26.6,25.7,62.3,55.0,69.5,1.058,90.98697,81.35684,14.4,6.2,23.2,87.0,0.4,69.0,4.67000007629395,3.37800002098084,3.95099997520447,CZE,,,No autochthonous cases reported,CZE,,,,,,,,,,,,,,,,,,,,
53,Denmark,4.1856,30.372652739103238,25.938849780760414,10.8,6.5,3.8,89.7,10.35004017,5565.59342469,5092.98030894,9.2,8.70670385,84.12241598,16.24515072,4681.91165258,4284.33808137,15.87758402,883.6817721000001,808.64222757,1.79,57710.0,94.0,,94.0,94.0,94.0,5.9,47.37793116308843,3024482.0,82.8,79.0,80.85365853658539,11.3,9.5,13.1,3.7,3.1,4.3,217.0,186.0,253.0,13.71236935,763.17472665,698.36827065,12.7,16.1,22.8,16.3,55.4,47.3,63.6,1.056,91.10901,86.21726,10.4,4.5,16.5,87.0,0.31,38.0,6.63899993896484,5.76800012588501,6.1810002326965305,DNK,,,No autochthonous cases reported,DNK,,,1,0,,,,,,,,,,,,,,,,
54,Djibouti,19.4152,6.475187602258093,49.11821496095562,23.002,45.2,10.4,44.4,3.50192451,70.19033417,122.07560573,8.35,1.60279084,45.76885746,3.09713949,32.125314,55.87260999,26.40119563,18.53108744,32.22941949,2.847,1990.0,68.0,68.0,68.0,68.0,75.0,335.0,43.225593453070246,399821.0,64.16199999999999,60.831,62.465,19.6,18.2,21.2,53.0,33.1,63.7,1138.0,716.0,1366.0,25.76631675,18.08546383,31.45438724,42.0,32.4,37.6,32.7,38.6,44.6,32.3,1.039,64.60335,58.27758000000001,0.5,0.1,0.9,80.0,35.0,86.0,12.012000083923304,10.310999870300302,11.045999526977502,DJI,2016,9,Endemic,DJI,,,,,,,,,,,EMR,34987,-,75574,-,,,,,
