,Country,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Age dependency ratio, old","Age dependency ratio, young","Birth rate, crude (per 1,000 people)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure per capita (current US$),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),Domestic private health expenditure per capita (current US$),"Domestic private health expenditure per capita, PPP  (current international $)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Labor force, female (% of total labor force)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)",Number of infant deaths,Number of neonatal deaths,Number of under-five deaths,Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure per capita (current US$),"Out-of-pocket expenditure per capita, PPP (current international $)",Prevalence of anemia among children (% of children under 5),Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of anemia among pregnant women (%),Prevalence of anemia among women of reproductive age (% of women ages 15-49),Prevalence of overweight (% of adults),"Prevalence of overweight, female (% of female adults)","Prevalence of overweight, male (% of male adults)",Sex ratio at birth (male births per female births),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","Tuberculosis case detection rate (%, all forms)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",ISO-alpha3 code_x,Year,cases of visceral leishmaniasis,Status of endemicity of cutaneous leishmaniasis 2017,ISO-alpha3 code_y,Buruli cases 2016,ISO-alpha3 code_x,Cases of cholera 2016,Cholera deaths 2016,Unnamed: 0,Oncho Status 2018,ISO-alpha3 code_y,Oncho cases 2016,Trachoma Operations 2018,Trachoma Pop at Risk 2018,Country code_x,Population requiring PC for STH Pre-SAC,National coverage Pre-SAC,Population requiring PC for STH SAC,National coverage SAC,Country code_y,Population requiring PC for SCH annually,Reported number of SAC treated for Schisto,Age group,National coverage Schisto tmt
10,Australia,13.2818,23.16350692677318,28.699539211181715,12.9,4.6,5.9,89.5,9.25209201,5002.35827732,4529.88708182,6.6,6.31986614,68.30742861,17.42141761,3416.98230887,3094.24938432,31.69257078,1585.37593763,1435.63766959,1.7519999999999998,54190.0,94.0,94.0,94.0,94.0,95.0,6.6,46.13532645349528,12730726.0,84.6,80.4,82.44878048780491,9.1,7.2,11.0,3.1,2.2,3.7,960.0,694.0,1140.0,18.9437128,947.63238534,858.1287990000002,13.9,8.7,20.1,9.1,64.5,58.1,70.9,1.055,93.56757,89.49928,10.6,4.7,16.7,87.0,0.22,78.0,5.78000020980835,5.65100002288818,5.71099996566772,AUS,,,No autochthonous cases reported,AUS,186,AUS,1,0,,,,,1.0,20123.0,,,,,,,,,,
11,Austria,7.207999999999998,28.451729739323486,21.07810710659125,10.0,2.6,5.2,92.2,10.43762567,4688.28020378,5295.1817721,9.2,7.56836059,72.51036616,14.92675029,3399.48914237,3839.55569179,27.48963384,1288.79106141,1455.62608032,1.53,46130.0,87.0,87.0,87.0,87.0,95.0,8.2,46.72990054071313,4535122.0,84.1,79.3,81.64146341463416,11.4,8.5,14.4,3.0,2.2,3.6,250.0,185.0,303.0,18.91973627,887.01025023,1001.83442638,12.6,17.1,24.5,17.3,54.3,46.8,61.8,1.055,93.02272,86.28558000000002,11.6,5.1,18.5,87.0,0.44,75.0,5.544000148773191,6.42600011825562,6.01399993896484,AUT,,,No autochthonous cases reported,AUT,,,,,,,,,,,,,,,,,,,,
12,Azerbaijan,52.612,8.24116946399567,32.64043313481321,16.3,8.8,4.6,86.6,6.89059972,268.15586521,1193.05883013,5.8,1.37563334,19.96391311,3.88369484,53.53440392,238.18122814,79.66035302,213.61390886,950.39487579,1.9,4760.0,97.0,97.0,97.0,98.0,98.0,66.0,48.80142502549003,4966648.0,75.046,69.002,72.02600000000002,22.2,16.1,28.7,21.9,12.6,24.6,3801.0,2184.0,4279.0,78.91878428,211.62534879,941.54752446,23.9,38.4,40.1,38.5,53.6,54.1,52.9,1.132,83.43743,70.99637,0.8,0.2,1.5,80.0,7.3,84.0,5.90700006484985,4.13500022888184,5.0,AZE,2016,44,Endemic,AZE,,,,,,,,,,,EUR,657605,-,997507,0.5279,,,,,
13,Bahamas,27.9514,12.20070501426459,28.9257494510747,14.271,16.9,9.2,73.9,6.37542177,1835.22820219,1435.56751295,6.349,3.17883147,49.86072423,15.98214286,915.05807296,715.78435883,49.72144847,912.50204482,713.78496118,1.767,28830.0,94.0,94.0,94.0,94.0,89.0,26.0,46.74326766471074,224105.0,78.609,72.58,75.675,15.5,12.7,18.6,6.1,4.2,7.6,34.0,23.0,42.0,27.71587744,508.64959921,397.88013242,29.5,23.0,27.5,23.1,64.4,68.1,60.3,1.057,83.52271,73.46566999999997,4.4,1.4,7.6,87.0,0.2,66.0,14.512000083923304,11.1090002059937,12.6999998092651,BHS,,,No autochthonous cases reported,BHS,,,,,,,,,,,AMR,1207,-,2733,-,,,,,
14,Bahrain,13.493,3.028454197417936,26.228139439800334,14.762,6.9,10.1,83.0,4.86947429,1099.36229078,1866.29732036,2.359,2.98811374,61.36419576,8.41289272,674.61482823,1145.23834113,38.63580424,424.74746256,721.05897923,2.033,21380.0,99.0,99.0,99.0,99.0,99.0,12.0,21.453897454161808,817059.0,77.995,76.061,76.9,11.3,11.9,10.9,6.4,3.2,7.5,138.0,69.0,160.0,27.98785963,307.68797479,522.33667434,30.1,41.9,42.8,42.0,65.8,68.5,64.0,1.037,88.78687,86.1202,1.9,0.3,2.8,87.0,0.51,68.0,3.49000000953674,0.335999995470047,1.01300001144409,BHR,,,No autochthonous cases reported,BHR,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,84.4078,7.690622900036852,43.77479991008197,18.95,25.6,7.5,66.9,2.36505997,34.21796766,90.59840433,5.284,0.42468448,17.95660527,3.37967949,6.14438538,16.26839784,74.41802671,25.464336300000006,67.4215447,2.104,1370.0,97.0,97.0,97.0,97.0,94.0,221.0,29.031186790541497,63385490.0,74.294,70.891,72.48899999999998,21.6,20.4,22.6,28.3,19.5,34.3,87197.0,60140.0,106120.0,71.88884163,24.59890058,65.1301434,40.3,39.6,45.7,39.9,20.0,22.2,18.0,1.0490000000000002,79.15874000000002,72.99971,0.0,0.0,0.0,62.0,40.0,94.0,7.35900020599365,3.11899995803833,4.349999904632569,BGD,2016,255,No autochthonous cases reported,BGD,,,,,,,,,,,SEAR,16202387,-,40137007,0.9536,,,,,
16,Barbados,39.1876,21.964450783086384,28.998758682618913,11.905,13.0,4.2,82.8,6.96244846,1163.84456087,1322.9855087,10.744000000000002,3.19484936,45.88686551,9.2834781,534.05178845,607.07658116,52.441315,610.33539232,693.79099807,1.797,15170.0,97.0,97.0,97.0,97.0,92.0,1.2,49.88634582222919,153096.0,78.251,73.44800000000002,75.906,16.2,12.9,19.7,11.9,8.3,12.8,40.0,28.0,43.0,45.17700374,525.79010081,597.68521276,31.9,21.4,25.7,21.6,52.4,59.9,44.7,1.036,87.77796,79.63391,9.6,3.4,16.6,87.0,0.91,100.0,10.0989999771118,9.343000411987301,9.72000026702881,BRB,,,No autochthonous cases reported,BRB,,,,,,,,,,,,,,,,,,,,
17,Belarus,17.9796,21.114077959123208,23.852746014398843,12.4,2.5,7.0,90.5,6.31679395,317.99419058,1151.40884919,12.6,3.88144189,61.44639064,8.47352507,195.39595255,707.49917931,38.33709471,121.90973402,441.41670101,1.733,5620.0,98.0,96.0,11.0,98.0,98.0,42.0,49.6938426259356,5101298.0,79.0,68.9,73.8268292682927,23.7,13.8,35.2,2.9,1.6,3.9,335.0,181.0,442.0,35.79892788,113.83851094,412.19202349,25.4,22.6,24.1,22.6,59.4,56.3,62.6,1.061,85.69144,60.86889,11.2,5.5,18.0,80.0,2.3,89.0,4.18599987030029,7.47399997711182,5.84000015258789,BLR,,,No autochthonous cases reported,BLR,,,,,,,,,,,,,,,,,,,,
18,Belgium,5.1082,28.43430350010847,26.36409040512473,10.8,7.9,6.4,85.7,10.03841793,4149.38532224,4667.88228695,9.5,8.44288611,84.10574485,15.84306558,3489.87140421,3925.95713493,15.89425515,659.51388489,741.92511474,1.68,42530.0,98.0,97.0,97.0,98.0,96.0,10.0,45.92601088432546,5004628.0,84.0,79.0,81.4390243902439,11.4,8.6,14.1,3.1,2.1,3.9,405.0,278.0,499.0,15.85889032,658.04646725,740.2743322000001,12.6,16.0,23.5,16.2,59.5,51.4,67.6,1.05,91.44035,85.77695,12.1,5.2,19.4,87.0,0.54,82.0,7.55999994277954,8.05900001525879,7.82999992370605,BEL,,,No autochthonous cases reported,BEL,,,,,,,,,,,,,,,,,,,,
19,Belize,64.7226,5.920082478060076,49.74035467255957,22.534,19.4,13.2,67.4,6.12137415,303.60483768,541.43432741,5.483,4.06011333,66.32682842,12.41917019,201.37145976,359.11621735,29.88655233,90.7370187,161.81605361,2.51,4410.0,95.0,95.0,95.0,96.0,95.0,38.0,39.940994493615705,167442.0,73.396,67.736,70.384,22.1,18.5,25.5,12.8,9.2,14.9,105.0,76.0,122.0,22.87068173,69.43649613,123.82972177,22.5,21.7,21.3,21.7,54.8,61.2,48.1,1.03,79.94705,67.32374,6.8,2.2,11.4,87.0,2.6,62.0,13.5819997787476,4.13800001144409,7.90999984741211,BLZ,,,Endemic,BLZ,,,,,,,,,,,AMR,2176,1,4727,-,,,,,
